Brand,Avg Rating,Total Comment,Seller Rating,Front Camera,Camera Resolution,Battery Capacity,NFC,Screen Size,Screen Resolution,RAM Capacity,Wireless Charging
Apple,4.8,4828,10,12 MP,12 MP + 12 MP,2500 - 2999 mAh,Var,"6,1 inç",,4 GB RAM,Var
Xiaomi,4.7,2510,10,"8,0 MP",50 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
Apple,4.8,18433,10,12 MP,12 MP + 12 MP,3000 - 3499 mAh,,"6,1 inç",,4 GB RAM,Var
Xiaomi,4.6,2328,10,5 MP,50 MP,5000 mAh ve Üzeri,,"6,71 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
POCO,4.6,462,"9,9","8,0 MP",50 MP + 2 MP,5000 mAh ve Üzeri,,"6,74 inç",,8 GB RAM,Yok
Samsung,4.6,57,10,13 MP,50 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,8 GB RAM,Yok
Apple,4.8,2251,10,12 MP,48 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Var
,,,,,,,,,,,
HONOR,4.5,9604,10,50 MP,200 MP + 12 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,6 inç",2436 x 1125,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Xiaomi,4.8,42,"9,6","8,0 MP",50 MP + 2 MP,5000 mAh ve Üzeri,,"6,74 inç",,6 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Apple,4.8,2033,10,12 MP,48 MP + 12 MP,3500 - 3999 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,4.8,171,"9,2",32 MP,12 MP,5000 mAh ve Üzeri,,"6,6 inç",1080 x 2340,8 GB RAM,Yok
Samsung,4.7,255,"9,5",13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,6 GB RAM,Yok
Samsung,4.3,109,10,13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,7 inç",1080 x 2400,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,3.3,752,10,"1,3 MP","1,3 MP",2000 - 2499 mAh,,"1,36 inç",,1 GB RAM,Yok
Samsung,4.7,299,"9,7",12 MP,50 MP,4000 - 4999 mAh,Var,"6,7 inç",,12 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
Reeder,3.8,6962,09,5 MP,8 MP,3500 - 3999 mAh,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.8,74,"9,5",13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,4 GB RAM,Yok
Samsung,4.6,26,"9,9",12 MP,50 MP,4000 - 4999 mAh,Var,"6,1 inç",,8 GB RAM,Var
POCO,4.7,118,"9,2",16 MP,64 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Apple,4.8,3876,10,12 MP,12 MP + 12 MP,3000 - 3499 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,3.5,3093,"9,5",Yok,Yok,,Yok,"2,0 inç",128 x 160,,Yok
Samsung,4.8,583,"9,5",12 MP,200 MP + 12 MP + 10 MP + 10 MP,5000 mAh ve Üzeri,,"6,8 inç",,8 GB RAM,Var
,,,,,,,,,,,
Samsung,4.5,110,10,13 MP,8 MP,5000 mAh ve Üzeri,,"6,6 inç",1080 x 2340,8 GB RAM,Yok
Samsung,4.8,1292,"9,7",12 MP,50 MP + 12 MP + 10 MP,3500 - 3999 mAh,,"6,1 inç",,8 GB RAM,Var
,,,,,,,,,,,
Nokia,2.8,383,09,"0,3 MP","0,08 MP",0 - 1499 mAh,,"1,8 inç",,1 GB RAM,Yok
Samsung,4.7,2335,"9,5",32 MP,50 MP + 12 MP + 5 MP,5000 mAh ve Üzeri,,"6,4 inç",,8 GB RAM,Yok
Samsung,4.7,2067,"9,6",10 MP,50 MP +12 MP +10 MP,3500 - 3999 mAh,,"6,1 inç",,8 GB RAM,Var
Reeder,4.2,2392,"9,5",5 MP,13 MP,3500 - 3999 mAh,,"6,5 inç",,4 GB RAM,Yok
,,,,,,,,,,,
Samsung,3.4,2187,"9,1",Yok,Yok,0 - 1499 mAh,,"1,52 inç",,Yok,Yok
,,,,,,,,,,,
Samsung,3.0,108,"9,2",Yok,Yok,0 - 1499 mAh,,3 inç,,1 GB RAM,Yok
POCO,4.8,201,"9,4",16 MP,64 MP + 12 MP + 8 MP,5000 mAh ve Üzeri,,"6,67 inç",,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Oppo,4.4,51,"9,7",32 MP,64 MP + 13 MP + 5 MP,5000 mAh ve Üzeri,Var,"6,7 inç",2400 x 1080,8 GB RAM,Yok
Xiaomi,4.5,1020,"9,9",13 MP,50 MP,5000 mAh ve Üzeri,,"6,71 inç",,6 GB RAM,Yok
General Mobile,4.8,62,"9,5",5 MP,32.0 MP + 5.0 MP + 8.0 MP,5000 mAh ve Üzeri,,"6,5 inç",720 x 1600,4 GB RAM,Yok
,,,,,,,,,,,
POCO,4.8,894,"9,5",16 MP,64 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,12 GB RAM,Yok
Apple,4.8,907,10,12 MP,48 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Var
Realme,4.7,557,"9,9","8,0 MP",64 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,7 inç",,6 GB RAM,Yok
,,,,,,,,,,,
Apple,4.8,249,10,12 MP,48 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,6 GB RAM,Var
Nokia,2.8,111,"9,1","0,3 MP","1,3 MP",0 - 1499 mAh,,"1,52 inç",,1 GB RAM,Yok
Samsung,3.1,1472,"9,5",Yok,"0,08 MP",0 - 1499 mAh,,"2,0 inç",,Yok,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tecno,4.7,83,"9,9",32 MP,108 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.7,694,"9,6",20 MP,50 MP +40 MP +12 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,12 GB RAM,Yok
Xiaomi,4.0,226,09,16 MP,200 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Xiaomi,4.6,8438,"9,3",16 MP,108 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,8 GB RAM,Yok
Alcatel,4.3,137,"9,4","0,3 MP","0,3 MP",0 - 1499 mAh,,"5,01 inç",,16 MB RAM,Yok
Samsung,4.9,14,10,13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,8 GB RAM,Yok
Apple,4.8,1628,10,12 MP,12 MP + 12 MP,3000 - 3499 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Realme,4.5,113,"9,5","8,0 MP",50 MP + 2 MP,4000 - 4999 mAh,,"6,74 inç",,4 GB,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Apple,4.8,175,10,12 MP,48 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Var
Samsung,4.7,4215,10,13 MP,48 MP + 8 MP + 5 MP,5000 mAh ve Üzeri,,"6,6 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Reeder,3.7,84,10,16 MP,64 MP + 5 MP +2 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
vivo,4.5,238,"9,4",5 MP,13 MP + 2 MP,5000 mAh ve Üzeri,,"6,51 inç",720 x 1600,4 GB RAM,Var
,,,,,,,,,,,
Reeder,3.5,21,10,24 MP,48 MP,5000 mAh ve Üzeri,Yok,"6,51 inç",,8 GB RAM,Yok
Nokia,2.7,103,"9,1","1,1 MP","1,3 MP",0 - 1499 mAh,,"4,3 inç",,16 MB RAM,Yok
,,,,,,,,,,,
Xiaomi,3.8,58,"9,5",5 MP,13 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
General Mobile,4.5,389,"9,6","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,52 inç",,3 GB RAM,Yok
Hiking,3.6,790,"9,8",Yok,"2,0 MP",0 - 1499 mAh,,"2,4 inç",,Yok,Yok
Xiaomi,3.0,31,"9,4",16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Reeder,4.3,719,10,10 MP,20 MP,5000 mAh ve Üzeri,,"6,0 inç",,4 GB,Yok
Samsung,4.8,83,09,12 MP,200 MP,5000 mAh ve Üzeri,Var,"6,8 inç",,12 GB RAM,Var
,,,,,,,,,,,
Samsung,3.6,35,"9,5",Yok,Yok,0 - 1499 mAh,,"2,0 inç",,,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,3.1,289,"9,1",,,,,,128 x 128,,Yok
Hiking,3.5,550,"9,1",Yok,Yok,0 - 1499 mAh,Yok,"1,77 inç",,Yok,Yok
,,,,,,,,,,,
Reeder,4.6,25,10,5 MP,13 MP,3500 - 3999 mAh,,"6,5 inç",,2 GB RAM,Yok
Apple,5.0,27,,12 MP,48 MP + 12 MP,3500 - 3999 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Huawei,4.6,13,,"8,0 MP",108 MP,5000 mAh ve Üzeri,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Samsung,4.7,113,"9,7",10 MP,48 MP + 8 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB,Yok
Samsung,4.5,443,"9,4",5 MP,50 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Nokia,,,"9,7",Yok,Yok,2000 - 2499 mAh,,"1,52 inç",,Yok,Yok
,,,,,,,,,,,
Realme,4.8,49,"9,7",12 MP,20 MP,5000 mAh ve Üzeri,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
POCO,4.8,150,09,16 MP,64 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,12 GB RAM,Yok
Xiaomi,4.5,456,"9,6",16 MP,108 MP + 8 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Huawei,4.7,10,,13 MP,50 MP + 13 MP + 12 MP,4000 - 4999 mAh,Var,"6,6 inç",100 Hz,12 GB RAM,Var
,,,,,,,,,,,
Xiaomi,4.6,14,"9,7",5 MP,13 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.6,367,"9,4",5 MP,50 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.7,2314,"9,7",32 MP,64 MP + 12 MP + 5 MP + 5 MP,5000 mAh ve Üzeri,,"6,5 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Nokia,2.4,5,"9,1",Yok,"0,08 MP",1500 - 1999 mAh,,"1,43 inç",,Yok,Yok
Samsung,4.5,51,10,10 MP,48 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB,Yok
vivo,4.7,71,"9,4","8,0 MP",50 MP + 2 MP,5000 mAh ve Üzeri,,"6,56 inç",,4 GB RAM,Yok
TCL,4.8,42,"9,6",Yok,"0,08 MP",0 - 1499 mAh,,"2,8 inç",,Yok,Yok
Samsung,4.8,704,10,12 MP,200 MP + 12 MP + 10 MP + 10 MP,5000 mAh ve Üzeri,,"6,8 inç",,12 GB RAM,Var
Huawei,4.9,11,,60 MP,50 MP + 8 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Yok
Infinix,4.5,15,"9,6",32 MP,50 MP,5000 mAh ve Üzeri,Var,"6,56 inç",,8 GB RAM,Yok
vivo,4.7,288,"9,4","8,0 MP",50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,55 inç",720 x 1600,6 GB RAM,Var
Xiaomi,3.4,446,"9,7",16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,43 inç",,8 GB RAM,Yok
General Mobile,4.5,103,"9,9","8,0 MP",50 MP,5000 mAh ve Üzeri,Yok,"6,52 inç",720 x 1600,4 GB RAM,Yok
,,,,,,,,,,,
Reeder,3.7,1987,"9,4",5 MP,5 MP,3500 - 3999 mAh,Yok,"6,26 inç",720 x 1520,2 GB RAM,Yok
Infinix,3.6,5,"9,8","8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,56 inç",,4 GB RAM,Yok
Samsung,4.5,392,"9,5",13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB RAM,Yok
Alcatel,3.7,1131,"9,4","2,0 MP",5 MP,2000 - 2499 mAh,,"5,0 inç",,1 GB RAM,Yok
Samsung,4.6,1439,"9,9","8,0 MP",50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB RAM,Yok
Omix,5.0,4,10,16 MP,50 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.5,81,"9,6","8,0 MP",48 MP + 2 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,6 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,2.8,26,"9,5","0,3 MP","0,08 MP",0 - 1499 mAh,Yok,"2,0 inç",100 Hz,Yok,Yok
vivo,,,"9,7","8,0 MP",50 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Welio,,,"9,7",Yok,Yok,0 - 1499 mAh,Yok,"1,8 inç",128 x 160,32 MB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Red Magic,5.0,3,"9,2",16 MP,50 MP + 50 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,12 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Xiaomi,4.6,16,,5 MP,13 MP,5000 mAh ve Üzeri,,"6,53 inç",,,Yok
,,,,,,,,,,,
Samsung,4.4,944,10,5 MP,13 MP,5000 mAh ve Üzeri,Yok,"6,5 inç",720 x 1600,3 GB RAM,Yok
Samsung,4.6,1261,"9,6",32 MP,12 MP + 12 MP + 8 MP,4000 - 4999 mAh,,"6,4 inç",,8 GB RAM,Var
,,,,,,,,,,,
Tecno,4.8,104,10,32 MP,48 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,6 GB RAM,Yok
,,,,,,,,,,,
Tecno,4.7,41,"9,4",32 MP,50 MP,5000 mAh ve Üzeri,,"6,8 inç",,8 GB RAM,Var
,,,,,,,,,,,
Samsung,4.7,826,10,"8,0 MP",50 MP + 5 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,6 GB RAM,Yok
,,,,,,,,,,,
HONOR,4.8,154,10,16 MP,50 MP +40 MP +12 MP,5000 mAh ve Üzeri,Var,"7,8 inç",,16 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
WT,3.5,2,10,"0,3 MP",10 MP,0 - 1499 mAh,,"1,36 inç",,Yok,Yok
Red Magic,5.0,3,"9,2",16 MP,50 MP + 50 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,12 GB RAM,Var
,,,,,,,,,,,
Panasonic,5.0,3,"9,8",Yok,"0,3 MP",0 - 1499 mAh,Yok,"2,4 inç",240 x 320,64 MB RAM,Yok
Reeder,3.9,136,"9,8",5 MP,13 MP,3500 - 3999 mAh,,"6,51 inç",,4 GB RAM,Yok
Samsung,4.8,115,"9,7",10 MP,12 MP + 12 MP,3500 - 3999 mAh,,"6,7 inç",,8 GB RAM,Var
,,,,,,,,,,,
Panasonic,4.0,2,"9,4",Yok,"1,3 MP",0 - 1499 mAh,Yok,"2,8 inç",240 x 320,64 MB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.3,203,"9,7","8,0 MP",50 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,4 GB RAM,Yok
Dodge,2.6,5,"9,6",Yok,Yok,0 - 1499 mAh,,"1,77 inç",,Yok,Var
vivo,4.7,512,"9,4",16 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,58 inç",2400 x 1080,8 GB RAM,Yok
Tecno,,,"9,8",32 MP,108 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,78 inç",,12 GB RAM,Yok
Hiking,5.0,4,9,Yok,Yok,0 - 1499 mAh,Yok,"1,77 inç",,,Yok
Infinix,3.9,16,"9,5","8,0 MP",50 MP,5000 mAh ve Üzeri,Var,"6,78 inç",1080 x 2400,4 GB RAM,Yok
vivo,4.6,94,"9,3",50 MP,50 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,78 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.4,218,,16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,8 GB RAM,Yok
Reeder,4.6,5,"9,4",Yok,12 MP + 8 MP + 2 MP + 2 MP,3000 - 3499 mAh,,"6,0 inç",,4 GB,Yok
Samsung,,,,10 MP,50 MP,4000 - 4999 mAh,Var,"7,6 inç",2376 x 968 (HD+),12 GB RAM,Var
Tecno,4.8,129,"9,6",32 MP,64 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Nokia,3.1,47,"9,6",Yok,10 MP,0 - 1499 mAh,,"4,6 inç",,1 GB RAM,Yok
Hiking,4.6,5,"9,6",Yok,"1,3 MP",0 - 1499 mAh,Yok,"2,4 inç",98 x 96,Yok,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Casper,4.4,35,"9,3",13 MP,50 MP + 8 MP + 2 MP,4000 - 4999 mAh,Var,"6,5 inç",2400 x 1080,8 GB RAM,Yok
Infinix,5.0,1,"9,6",32 MP,108 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,78 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Nokia,2.3,3,10,Yok,Yok,2000 - 2499 mAh,,"1,8 inç",,Yok,Yok
,,,,,,,,,,,
Tecno,4.8,67,"9,9","8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,6 inç",,8 GB RAM,Yok
Samsung,4.7,1811,"9,3",32 MP,108 MP + 12 MP + 10 MP + 10 MP,5000 mAh ve Üzeri,,"6,7 inç",,,Yok
Nothing,4.7,30,"9,4",32 MP,50 MP,5000 mAh ve Üzeri,,"6,7 inç",,12 GB RAM,Var
,,,,,,,,,,,
Samsung,2.3,43,09,Yok,"0,08 MP",1500 - 1999 mAh,,"3,1 inç",,1 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,4.9,103,10,10 MP + 4 MP,50 MP + 12 MP + 10 MP,4000 - 4999 mAh,,"7,6 inç",,12 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
Infinix,4.6,161,"9,8","8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,82 inç",,8 GB RAM,Yok
Casper,4.6,14,"9,5","8,0 MP",13 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,5 inç",720 x 1600,4 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.5,6846,"9,5",5 MP,13 MP,5000 mAh ve Üzeri,Yok,"6,53 inç",720 x 1600,3 GB RAM,Yok
Xiaomi,2.9,8,"9,4",16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
POCO,4.8,3280,10,16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Realme,5.0,2,"9,7",5 MP,13 MP,5000 mAh ve Üzeri,,"6,74 inç",,4 GB RAM,Yok
vivo,5.0,8,"9,5",50 MP,50 MP + 50 MP + 2 MP,5000 mAh ve Üzeri,,"6,78 inç",,12 GB RAM,Yok
Samsung,4.7,761,"9,9",5 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Omix,4.0,25,"9,4",5 MP,50 MP + 5 MP + 2 MP + 2 MP,4000 - 4999 mAh,,"6,44 inç",,4 GB RAM,Yok
POCO,4.6,180,"9,5",13 MP,48 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Samsung,4.7,2077,"9,7",13 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Realme,4.5,2176,"9,2",5 MP,13 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.2,24,10,13 MP,25 MP + 8 MP,4000 - 4999 mAh,,"6,3 inç",,4 GB RAM,Yok
Casper,4.5,10,"9,8",13 MP,10 MP,4000 - 4999 mAh,,"6,0 inç",,4 GB,Yok
Xiaomi,4.7,3519,"9,4",16 MP,108 MP + 8 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Huawei,4.6,43,"9,9",50MP + 8MP,50 MP + 8 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Oukitel,4.3,9,09,5 MP,20 MP,5000 mAh ve Üzeri,,"6,51 inç",,8 GB RAM,Yok
Tecno,4.6,69,"9,6","8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Var
Samsung,4.6,242,"9,9",10 MP,12 MP + 12 MP,3500 - 3999 mAh,Var,"6,7 inç",,8 GB RAM,Var
,,,,,,,,,,,
