Brand,Avg Rating,Total Comment,Seller Rating,Front Camera,Camera Resolution,Battery Capacity,NFC,Screen Size,Screen Resolution,RAM Capacity,Wireless Charging
Oppo,4.7,1837,"9,9","8,0 MP",13 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,52 inç",,4 GB,Yok
Tecno,4.6,56,9,32 MP,64 MP + 12 MP + 5 MP,5000 mAh ve Üzeri,,"6,82 inç",,8 GB RAM,Yok
Samsung,4.7,335,"9,7",40 MP,108 MP + 10 MP + 12 MP + 10 MP,5000 mAh ve Üzeri,,"6,8 inç",,8 GB RAM,Var
Huawei,4.4,372,"9,2",16 MP,48 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,3 inç",,4 GB RAM,Yok
Samsung,4.9,14,"9,8",10 MP + 10 MP,108 MP + 10 MP + 12 MP + 10 MP,1500 - 1999 mAh,,"6,09 inç",,8 GB RAM,Yok
Xiaomi,4.6,926,"9,3",16 MP,108 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,6 GB RAM,Yok
Tecno,4.2,39,"9,3","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB RAM,Yok
,,,,,,,,,,,
Tecno,,,"9,3",32 MP,64 MP + 13 MP,4000 - 4999 mAh,,"6,9 inç",,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Apple,4.9,544,"9,9",12 MP,12 MP + 12 MP,2500 - 2999 mAh,,"6,1 inç",,4 GB RAM,Var
,,,,,,,,,,,
Samsung,,,,10 MP,50 MP,4000 - 4999 mAh,Var,"6,7 inç",2640 x 1080 (FHD+),12 GB RAM,Var
Realme,4.8,102,"9,9",16 MP,50 MP,4000 - 4999 mAh,,"6,2 inç",,12 GB RAM,Yok
Realme,4.5,502,"9,7","8,0 MP",50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,5 inç",,4 GB RAM,Yok
Xiaomi,4.6,288,"9,3",16 MP,108 MP + 8 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Xiaomi,4.6,173,"9,8",32 MP,50 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,55 inç",,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Xiaomi,5.0,6,"9,5",16 MP,108 MP + 8 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",2400 x 1080,6 GB RAM,Yok
,,,,,,,,,,,
Realme,4.6,18,"9,6",16 MP,108 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,7 inç",,8 GB RAM,Yok
,,,,,,,,,,,
vivo,4.7,106,"9,4",16 MP,64 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
Realme,4.5,728,"9,8",5 MP,8 MP,5000 mAh ve Üzeri,,"6,5 inç",,2 GB RAM,Yok
,,,,,,,,,,,
TCL,4.3,102,"9,3","8,0 MP",13 MP + 2 MP + 2 MP,4000 - 4999 mAh,Yok,"6,52 inç",720 x 1600,3 GB RAM,Yok
Huawei,4.1,138,"9,2","8,0 MP",50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,7 inç",,6 GB RAM,Yok
Huawei,5.0,3,,13 MP,10 MP,5000 mAh ve Üzeri,Var,"6,8 inç",100 Hz,16 GB RAM,Var
,,,,,,,,,,,
Samsung,4.8,239,"9,2",12 MP,50 MP + 12 MP + 10 MP,4000 - 4999 mAh,,"6,6 inç",,8 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tecno,4.6,290,"9,5",10 MP,16 MP,5000 mAh ve Üzeri,,"6,0 inç",,6 GB RAM,Yok
Nokia,2.2,13,"9,2",Yok,VGA 640x480 Piksel,0 - 1499 mAh,Yok,"2,4 inç",240 x 320,8 MB RAM,Yok
Itel,,,"9,6",13 MP,50 MP,5000 mAh ve Üzeri,,"6,6 inç",,8 GB RAM,Yok
Samsung,,,"9,6",Yok,Yok,0 - 1499 mAh,,"1,7 inç",,Yok,Yok
,,,,,,,,,,,
Infinix,5.0,3,"9,6","8,0 MP",13 MP + 8 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB,Var
Realme,4.5,264,09,5 MP,13 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Realme,4.2,33,"9,3",5 MP,12 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,5 inç",720 x 1600,2 GB RAM,Yok
Xiaomi,4.5,1488,"9,2","8,0 MP",50 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.6,129,"9,7",10 MP,12 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"7,6 inç",1768 x 2208,12 GB RAM,Var
Samsung,4.5,3992,10,"8,0 MP",50 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Huawei,4.3,146,10,32 MP,50 MP + 8 MP + 2 MP + 2 MP,4000 - 4999 mAh,,"6,57 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Apple,4.8,435,"9,5","7,0 MP",12 MP,1500 - 1999 mAh,,"4,7 inç",,4 GB RAM,Var
Apple,4.8,203,"9,6",12 MP,48 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
Omix,4.1,93,"9,6",16 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,53 inç",,4 GB RAM,Yok
,,,,,,,,,,,
POCO,5.0,2,"9,3",5 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,58 inç",1080 x 2408,6 GB RAM,Yok
,,,,,,,,,,,
Huawei,4.5,68,"9,7",50MP + 8MP,50 MP + 8 MP,4000 - 4999 mAh,,"6,78 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.6,403,"9,9",16 MP,108 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,6 GB RAM,Yok
Xiaomi,4.7,19,,16 MP,48 MP + 8 MP + 2 MP + 2 MP,4000 - 4999 mAh,,"6,57 inç",,6 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Infinix,4.0,2,"9,6","8,0 MP",13 MP,5000 mAh ve Üzeri,Yok,"6,6 inç",720 x 1600,8 GB RAM,Yok
,,,,,,,,,,,
Samsung,4.8,114,"9,5",10 MP,12 MP + 12 MP,3500 - 3999 mAh,,"6,7 inç",,8 GB RAM,Var
,,,,,,,,,,,
Casper,4.8,8,"9,6","8,0 MP",13 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",720 x 1600,4 GB RAM,Yok
Nothing,2.5,2,"9,5",32 MP,50 MP,5000 mAh ve Üzeri,,"6,7 inç",,8 GB RAM,Yok
Infinix,,,"9,2","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,82 inç",,4 GB RAM,Yok
,,,,,,,,,,,
Huawei,4.6,357,"9,5",16 MP,16 MP + 8 MP,4000 - 4999 mAh,Yok,"6,59 inç",1080 x 2340,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Oneplus,,,"9,7",13 MP,13 MP + 8 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,8 inç",1920 x 1080,16 GB RAM,Var
Xiaomi,4.3,2131,"9,6",5 MP,13 MP,5000 mAh ve Üzeri,Yok,"6,53 inç",720 x 1600,2 GB RAM,Yok
Oukitel,4.3,15,"9,7",5 MP,50 MP,5000 mAh ve Üzeri,,"6,8 inç",,8 GB RAM,Yok
vivo,4.6,295,09,"8,0 MP",50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,55 inç",720 x 1600,4 GB RAM,Yok
Tecno,4.5,6,"9,8","8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,6 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.4,1661,"9,8",5 MP,13 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,53 inç",,4 GB RAM,Yok
Huawei,4.7,20,,"8,0 MP",50 MP + 13 MP + 12 MP,4000 - 4999 mAh,,"6,4 inç",,12 GB RAM,Var
Samsung,4.8,6275,"9,4",32 MP,12 MP + 12 MP + 8 MP,4000 - 4999 mAh,Var,"6,5 inç",,8 GB RAM,Var
Tecno,4.5,264,"9,4",16 MP,48 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,6 GB RAM,Yok
,,,,,,,,,,,
Samsung,4.8,94,"9,7",10 MP,50 MP +12 MP +10 MP,4000 - 4999 mAh,Var,"7,56 inç",,12 GB RAM,Var
,,,,,,,,,,,
Realme,4.8,44,"9,7",16 MP,64 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,6 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Tecno,4.4,252,"9,6","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,8 inç",,6 GB RAM,Yok
Realme,4.5,1020,"9,2",5 MP,13 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,3 GB RAM,Yok
vivo,4.4,8,"9,6",44 MP,64 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,44 inç",2400 x 1080,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Elephone,3.4,150,"9,6",13 MP,48 MP + 13 MP + 8 MP + 2 MP,4000 - 4999 mAh,Var,"6,5 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Realme,3.7,14,"9,5",32 MP,50 MP,5000 mAh ve Üzeri,,"6,7 inç",,8 GB RAM,Yok
POCO,3.8,36,"9,5","8,0 MP",8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,53 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Infinix,4.6,81,"9,6","8,0 MP",48 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,4 GB RAM,Yok
Omix,4.6,5,"9,4","8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,56 inç",,6 GB RAM,Yok
,,,,,,,,,,,
vivo,4.5,418,"9,4","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,51 inç",720 x 1600,4 GB RAM,Yok
,,,,,,,,,,,
Sesi,,,"9,6",5 MP,13 MP,2500 - 2999 mAh,Var,"4,7 inç",,2 GB RAM,Yok
Smart Tech,2.5,4,,Yok,Yok,0 - 1499 mAh,,"1,36 inç",,Yok,Yok
Tecno,4.6,201,"9,5","8,0 MP",8 MP,5000 mAh ve Üzeri,Yok,"6,8 inç",,4 GB RAM,Yok
,,,,,,,,,,,
Reeder,4.1,1745,"9,2","8,0 MP",13 MP,4000 - 4999 mAh,Yok,"6,47 inç",720 x 1560,4 GB,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Premier,,,"9,4",,,,,,,,Yok
TCL,4.2,110,"9,6","8,0 MP",16 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,4 GB,Yok
Hursoft Güvenlik,,,,,,,,,,,
,,,,,,,,,,,
Infinix,4.0,6,"9,6",16 MP,108 MP + 13 MP + 2 MP + 2 MP,4000 - 4999 mAh,Yok,"6,7 inç",1080 x 2400,8 GB RAM,Yok
Xiaomi,4.6,565,"9,6",13 MP,48 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,47 inç",1080 x 2400,4 GB,Yok
Nokia,,,"9,1",Yok,Yok,1500 - 1999 mAh,,"1,8 inç",,Yok,Yok
Hiking,5.0,3,"9,4","3,2 MP",48 MP,4000 - 4999 mAh,,"6,7 inç",,6 GB RAM,Yok
Tecno,4.6,582,"9,6",16 MP,48 MP + 13 MP + 2 MP,5000 mAh ve Üzeri,,"6,8 inç",,8 GB RAM,Yok
Samsung,4.4,401,"9,6",5 MP,5 MP,2500 - 2999 mAh,Yok,"5,0 inç",540 x 960,1 GB RAM,Yok
Reeder,3.7,897,"9,6",5 MP,13 MP,4000 - 4999 mAh,Yok,"6,2 inç",,2 GB RAM,Yok
Xiaomi,4.6,438,"9,6",13 MP,48 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,47 inç",1080 x 2400,4 GB RAM,Yok
Casper,,,10,13 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,53 inç",720 x 1600,6 GB RAM,Yok
Samsung,4.2,187,"9,6",16 MP,16 MP + 5 MP,3500 - 3999 mAh,Yok,"6,0 inç",720 x 1480,3 GB RAM,Yok
Infinix,4.0,6,"9,6",16 MP,108 MP + 13 MP + 2 MP + 2 MP,4000 - 4999 mAh,Yok,"6,7 inç",1080 x 2400,8 GB RAM,Yok
,,,,,,,,,,,
Samsung,4.5,29,"9,6",5 MP,13 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
,,,,,,,,,,,
Realme,4.6,594,"9,2",16 MP,64 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,5 inç",1080 x 2400,6 GB RAM,Yok
Bade Shopping,5.0,1,"9,9",Yok,"0,08 MP",1500 - 1999 mAh,,"1,36 inç",,1 GB RAM,Var
Huawei,4.4,90,"9,9",16 MP,48 MP + 2 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
vivo,4.5,82,"9,2",50 MP,64 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,44 inç",,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
vivo,4.4,96,,"8,0 MP",8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,5 inç",720 x 1600,4 GB RAM,Yok
,,,,,,,,,,,
General Mobile,3.7,3,"9,6","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,51 inç",,3 GB RAM,Yok
,,,,,,,,,,,
Apple,4.9,951,"9,2",12 MP,12 MP + 12 MP + 12 MP,3500 - 3999 mAh,,"6,7 inç",,6 GB RAM,Var
Casper,4.3,346,"9,7","8,0 MP",16 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,,"6,52 inç",,4 GB RAM,Yok
BlackBerry,4.0,77,"9,5",,"2,0 MP",,,"3,2 inç",240 x 320,,Yok
Apple,4.8,2481,10,"7,0 MP",12 MP,2500 - 2999 mAh,,"6,1 inç",,3 GB RAM,Var
Dijitsu,,,,"8,0 MP",16 MP,5000 mAh ve Üzeri,,"6,53 inç",,4 GB,Yok
,,,,,,,,,,,
Oppo,4.6,2037,"9,3",16 MP,16 MP + 8 MP,4000 - 4999 mAh,Var,"6,44 inç",,4 GB RAM,Yok
Alcatel,4.3,79,"9,6",13 MP,48 MP + 5 MP,5000 mAh ve Üzeri,,"6,52",,6 GB RAM,Yok
,,,,,,,,,,,
Realme,4.7,349,,16 MP + 8 MP,64 MP + 12 MP + 8 MP + 2 MP,4000 - 4999 mAh,Yok,"6,6 inç",1080 x 2400,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Reeder,3.2,4053,"9,5","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,5 inç",,6 GB RAM,Yok
Samsung,4.6,607,"9,6",5 MP,13 MP + 2 MP,3000 - 3499 mAh,Yok,"5,7 inç",,2 GB RAM,Yok
Realme,4.7,349,,16 MP + 8 MP,64 MP + 12 MP + 8 MP + 2 MP,4000 - 4999 mAh,Yok,"6,6 inç",1080 x 2400,8 GB RAM,Yok
,,,,,,,,,,,
General Mobile,3.7,3,"9,6","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,51 inç",,3 GB RAM,Yok
Oukitel,,,"9,4",5 MP,13 MP,5000 mAh ve Üzeri,,"6,56 inç",,4 GB RAM,Yok
Xiaomi,4.1,250,"9,7",16 MP,108 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,43 inç",,6 GB RAM,Yok
,,,,,,,,,,,
BlackBerry,4.0,77,"9,5",,"2,0 MP",,,"3,2 inç",240 x 320,,Yok
Apple,4.8,2481,10,"7,0 MP",12 MP,2500 - 2999 mAh,,"6,1 inç",,3 GB RAM,Var
Dijitsu,,,,"8,0 MP",16 MP,5000 mAh ve Üzeri,,"6,53 inç",,4 GB,Yok
Reeder,3.2,4053,"9,5","8,0 MP",13 MP,5000 mAh ve Üzeri,,"6,5 inç",,6 GB RAM,Yok
Xiaomi,3.8,9,"9,7",5 MP,13 MP,5000 mAh ve Üzeri,,"6,5 inç",,4 GB RAM,Yok
Premier,,,"9,4",,,,,,,,Yok
,,,,,,,,,,,
Casper,4.5,112,"9,2",13 MP,16 MP + 5 MP,3500 - 3999 mAh,Yok,"6,3 inç",1080 x 2340,4 GB RAM,Yok
,,,,,,,,,,,
Omix,4.5,194,"9,1",16 MP,48MP + 5MP + 2MP + 2MP,5000 mAh ve Üzeri,,"6,67 inç",,4 GB RAM,Yok
vivo,4.5,369,"9,2",16 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,58 inç",2400 x 1080,8 GB RAM,Yok
,,,,,,,,,,,
Samsung,4.8,201,"9,6",13 MP,48 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,4 inç",,4 GB,Yok
,,,,,,,,,,,
Samsung,4.7,1697,"9,5",32 MP,12 MP + 12 MP + 8 MP,4000 - 4999 mAh,,"6,4 inç",,8 GB RAM,Var
Oppo,4.6,172,"9,8",32 MP,64 MP + 2 MP + 2 MP,4000 - 4999 mAh,,"6,43 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.7,216,"9,5",20 MP,200 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,12 GB RAM,Yok
Samsung,4.6,20,"9,6",13 MP,50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB RAM,Yok
Apple,4.8,2912,10,12 MP,12 MP + 12 MP,2000 - 2499 mAh,,"5,4 inç",,4 GB RAM,Var
Huawei,3.1,71,,"8,0 MP",13 MP,3000 - 3499 mAh,Yok,"5,99 inç",720 x 1440,2 GB RAM,Yok
TCL,4.5,961,"9,6","8,0 MP",48 MP + 5 MP,4000 - 4999 mAh,Var,"6,53 inç",720 x 1600,4 GB RAM,Yok
TCL,5.0,1,"9,6","8,0 MP",48 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,67 inç",1080 x 2400,6 GB RAM,Yok
Mipo,,,"9,6","8,0 MP",13 MP + 2 MP,4000 - 4999 mAh,,"6,51 inç",,4 GB,Yok
,,,,,,,,,,,
Tecno,5.0,1,,"8,0 MP",50 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Reeder,,,"9,3",24 MP,48 MP + 2 MP,5000 mAh ve Üzeri,,"6,51 inç",720 x 1600,8 GB RAM,Yok
Xiaomi,4.6,629,"9,3",13 MP,50 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,43 inç",,4 GB RAM,Yok
Nothing,4.9,16,"9,5",32 MP,50 MP,4000 - 4999 mAh,,"6,7 inç",,12 GB RAM,Yok
Xiaomi,4.7,216,"9,5",20 MP,200 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,4.7,618,9,10 MP,64 MP + 12 MP + 12 MP,4000 - 4999 mAh,Var,"6,7 inç",,8 GB RAM,Yok
Reeder,,,"9,5",24 MP,48 MP,5000 mAh ve Üzeri,,"6,51 inç",720 x 1600,8 GB RAM,Yok
Huawei,4.5,162,10,13 MP,50 MP + 40 MP + 13 MP + 64 MP,4000 - 4999 mAh,,"6,6 inç",,8 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
Trident,3.8,56,"9,6","8,0 MP",16 MP,3500 - 3999 mAh,,"6,53 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Infinix,5.0,2,"9,5","8,0 MP",13 MP + 8 MP,5000 mAh ve Üzeri,,"6,6 inç",,4 GB,Yok
POCO,4.7,2727,"9,8",20 MP,48 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",1080 x 2400,6 GB RAM,Yok
,,,,,,,,,,,
POCO,4.6,124,"9,9",20 MP,64 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,67 inç",,6 GB RAM,Yok
Xiaomi,4.4,25,"9,5",13 MP,48 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,47 inç",1080 x 2400,6 GB RAM,Yok
Xiaomi,3.3,39,"9,4",13 MP,64 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,43 inç",,6 GB RAM,Yok
Nokia,,,"9,1","0,3 MP","0,08 MP",0 - 1499 mAh,,"1,8 inç",,1 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Casper,4.1,82,"9,7","8,0 MP",50 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,52 inç",720 x 1600,8 GB RAM,Yok
Ulefone,5.0,1,"9,6",16 MP,16 MP,5000 mAh ve Üzeri,,"6,78 inç",,Yok,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Apple,4.8,1784,"9,4","7,0 MP",12 MP,1500 - 1999 mAh,,"4,7 inç",,3 GB RAM,Var
Hiking,5.0,1,"9,6",25 MP,108 MP + 8 MP + 2 MP,4000 - 4999 mAh,,"6,55 inç",,12 GB RAM,Yok
Hiking,4.0,1,"9,2",25 MP,64 MP + 13 MP + 2 MP,4000 - 4999 mAh,,"6,0 inç",,8 MB RAM,Yok
Infinix,4.2,31,"9,6",13 MP,50 MP + 2 MP,5000 mAh ve Üzeri,Yok,"6,7 inç",1080 x 2400,8 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,4.7,481,10,40 MP,108 MP + 10 MP + 12 MP + 10 MP,5000 mAh ve Üzeri,,"6,8 inç",,12 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
POCO,4.7,1056,"9,4",16 MP,64 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Vestel,4.4,158,9,"8,0 MP",16 MP + 5 MP,3500 - 3999 mAh,Var,"6,4 inç",1080 x 2340,4 GB RAM,Var
Ulefone,,,"9,6",16 MP,16 MP,5000 mAh ve Üzeri,Var,"6,58 inç",,16 GB RAM,Yok
,,,,,,,,,,,
