stock_name,stock_code,price,revunue,profit margin,market cap,price/book,Enterprise Value/EBITDA,Environmental Risk Score,Social Risk Score,Governance Risk Score
Microsoft Corporation,MSFT,467.56,236.58B,36.43%,3.48T,13.73,27.20,1.5,7.5,6.1
Apple Inc.,AAPL,226.34,381.62B,26.31%,3.47T,46.78,26.38,0.5,7.4,9.4
NVIDIA Corporation,NVDA,125.83,79.77B,53.40%,3.10T,62.99,60.68,2.3,4.9,6.3
"Amazon.com, Inc.",AMZN,200,590.74B,6.38%,2.08T,9.61,21.60,6.0,15.4,9.2
"Meta Platforms, Inc.",META,539.91,142.71B,32.06%,1.37T,9.16,20.18,2.7,21.1,10.3
Alphabet Inc.,GOOGL,190.6,318.15B,25.90%,2.36T,8.04,20.97,1.6,11.2,11.5
Alphabet Inc.,GOOG,191.96,318.15B,25.90%,2.36T,8.10,20.97,,,
,BRK.B,,--,--,--,--,--,,,
Eli Lilly and Company,LLY,914.57,35.93B,17.08%,823.48B,64.27,87.43,2.5,12.6,9.1
Broadcom Inc.,AVGO,1703.31,42.62B,24.10%,792.87B,11.33,41.99,7.3,6.0,6.6
JPMorgan Chase & Co.,JPM,204.79,150B,33.57%,588.09B,1.92,--,1.1,16.5,11.7
"Tesla, Inc.",TSLA,251.52,94.75B,14.37%,802.15B,12.46,56.91,3.3,14.1,7.8
Exxon Mobil Corporation,XOM,113.37,335.35B,9.78%,508.57B,2.48,7.32,23.1,10.0,8.5
UnitedHealth Group Incorporated,UNH,488.01,379.49B,4.05%,449.16B,5.18,16.83,0.0,9.7,5.6
Visa Inc.,V,270.36,34.14B,53.87%,553.18B,14.00,23.29,1.8,8.2,6.7
,,,,,,,,9.6,12.2,6.7
Costco Wholesale Corporation,COST,885.67,253.7B,2.83%,392.65B,18.04,32.58,6.5,11.2,5.6
Mastercard Incorporated,MA,449.49,25.7B,46.09%,417.85B,57.69,27.02,2.2,6.7,8.3
Johnson & Johnson,JNJ,146.48,85.65B,44.92%,352.53B,5.03,12.76,0.9,15.0,8.0
"The Home Depot, Inc.",HD,334.58,151.83B,9.79%,331.77B,182.29,15.32,3.3,5.6,3.8
"Merck & Co., Inc.",MRK,126.45,61.4B,3.76%,320.27B,7.93,38.85,1.9,10.6,8.9
AbbVie Inc.,ABBV,167.25,54.4B,11.02%,295.34B,36.89,18.98,2.4,17.2,10.4
"Netflix, Inc.",NFLX,690.65,34.93B,18.42%,297.60B,13.93,13.36,0.1,7.3,9.0
Walmart Inc.,WMT,70.04,657.33B,2.88%,563.37B,6.93,15.06,5.9,12.4,7.1
Bank of America Corporation,BAC,40.41,93.36B,26.81%,316.02B,1.19,--,1.7,15.1,11.5
Chevron Corporation,CVX,154.31,192.79B,10.53%,282.20B,1.76,6.78,17.0,9.2,10.4
"Advanced Micro Devices, Inc.",AMD,171.9,22.8B,4.90%,277.84B,4.94,66.31,,,
Adobe Inc.,ADBE,578.34,20.43B,24.86%,256.44B,17.28,34.21,1.9,6.0,5.2
"Salesforce, Inc.",CRM,263.19,35.74B,15.30%,255.03B,4.27,24.55,2.0,7.5,5.4
The Coca-Cola Company,KO,63.76,46.07B,23.41%,274.68B,10.39,19.49,7.2,9.5,4.9
Oracle Corporation,ORCL,144.83,52.96B,19.76%,399.13B,45.86,22.22,0.5,7.8,5.6
"PepsiCo, Inc.",PEP,164.39,91.88B,10.00%,226.00B,11.87,16.57,7.3,9.6,5.2
QUALCOMM Incorporated,QCOM,205.75,36.41B,23.03%,229.62B,9.38,20.79,5.3,4.5,5.6
Wells Fargo & Company,WFC,59.62,77.6B,24.19%,207.85B,1.28,--,2.0,14.8,19.4
Thermo Fisher Scientific Inc.,TMO,540.1,42.49B,14.20%,206.16B,4.53,20.67,1.4,4.9,6.5
Linde plc,LIN,435.72,32.76B,19.26%,209.46B,5.39,18.16,,,
"Applied Materials, Inc.",AMAT,242.59,26.5B,27.56%,200.86B,11.04,22.29,4.5,3.0,5.3
"Cisco Systems, Inc.",CSCO,46.65,55.36B,21.88%,187.94B,4.11,11.75,0.4,6.9,6.5
Accenture plc,ACN,299.14,64.48B,10.79%,187.38B,6.75,17.28,0.8,4.6,4.4
Intuit Inc.,INTU,668.75,15.81B,19.43%,186.95B,9.97,39.89,1.0,10.7,4.7
McDonald's Corporation,MCD,251.09,25.76B,33.36%,180.96B,--,16.42,7.6,12.6,5.8
Abbott Laboratories,ABT,104.02,40.33B,13.96%,180.96B,4.66,18.15,2.3,14.2,8.3
The Walt Disney Company,DIS,97.99,89.2B,1.90%,178.64B,1.80,18.70,0.0,9.0,6.7
Texas Instruments Incorporated,TXN,198.79,16.8B,35.16%,180.99B,10.66,21.78,7.8,6.0,6.9
Verizon Communications Inc.,VZ,41.27,134.04B,8.44%,173.72B,1.84,8.62,3.7,9.6,5.4
GE Aerospace,GE,160.5,69.52B,5.05%,175.68B,5.88,19.80,14.2,15.4,10.9
Amgen Inc.,AMGN,310.88,29.53B,12.74%,166.77B,33.21,18.31,0.7,13.5,7.8
"ServiceNow, Inc.",NOW,806.47,9.48B,20.34%,165.63B,20.43,88.72,4.0,6.0,6.6
Caterpillar Inc.,CAT,328.35,67B,16.79%,160.58B,9.10,11.65,10.4,17.7,8.1
Danaher Corporation,DHR,239.25,23.74B,18.55%,177.21B,3.32,25.82,1.4,5.2,5.3
International Business Machines Corporation,IBM,176.02,62.07B,13.18%,161.69B,6.95,13.85,1.8,6.2,6.1
Pfizer Inc.,PFE,28.05,54.89B,-0.56%,158.95B,1.72,29.04,2.1,12.9,9.6
Philip Morris International Inc.,PM,102.12,35.95B,22.16%,158.75B,--,14.91,3.4,13.5,11.5
"Intuitive Surgical, Inc.",ISRG,443.76,7.32B,27.16%,157.40B,11.27,66.73,3.7,9.6,7.8
"The Goldman Sachs Group, Inc.",GS,464.75,46.73B,20.15%,149.86B,1.40,--,0.9,12.8,11.8
Comcast Corporation,CMCSA,37.86,121.94B,12.64%,148.55B,1.80,6.19,4.0,10.9,8.2
"Uber Technologies, Inc.",UBER,71.06,38.59B,3.60%,148.48B,13.43,47.67,,,
"Micron Technology, Inc.",MU,131.6,21.37B,-7.20%,145.92B,3.30,23.09,7.2,5.5,5.5
"NextEra Energy, Inc.",NEE,72.09,27.13B,27.62%,148.11B,3.04,14.16,9.4,8.3,5.6
S&P Global Inc.,SPGI,453.27,12.83B,22.00%,141.83B,4.13,28.20,0.0,6.2,6.8
Lam Research Corporation,LRCX,1087.8,14.24B,25.35%,142.22B,17.73,30.66,4.5,4.0,5.1
Honeywell International Inc.,HON,212.24,36.9B,15.52%,138.21B,8.40,16.38,11.0,10.6,7.0
Union Pacific Corporation,UNP,225.17,24.09B,26.52%,137.38B,8.77,14.26,7.3,10.6,5.6
AT&T Inc.,T,18.77,122.32B,11.13%,134.58B,1.29,6.27,3.3,13.9,6.7
ConocoPhillips,COP,112.55,56.82B,18.63%,131.04B,2.66,5.70,17.6,8.1,8.3
American Express Company,AXP,235.63,56.9B,15.81%,169.49B,5.89,--,0.1,8.9,9.7
RTX Corporation,RTX,100.37,71.01B,4.90%,133.44B,2.21,17.49,,,
Booking Holdings Inc.,BKNG,3930.15,22B,21.81%,133.34B,--,17.47,1.0,10.1,8.1
Intel Corporation,INTC,32.02,55.24B,7.36%,136.31B,1.29,14.03,4.9,7.3,6.6
"The TJX Companies, Inc.",TJX,111.64,54.91B,8.47%,126.17B,16.82,18.52,1.9,7.7,4.8
Eaton Corporation plc,ETN,317.37,23.66B,14.38%,126.91B,6.58,26.27,5.5,6.8,5.7
Morgan Stanley,MS,99.59,54.47B,17.48%,161.85B,1.79,--,1.1,12.9,10.5
"Elevance Health, Inc.",ELV,530.31,171.75B,3.64%,123.25B,3.04,--,0.1,6.0,5.3
The Progressive Corporation,PGR,210.18,65.02B,8.90%,123.10B,5.64,--,1.5,8.5,10.1
"Lowe's Companies, Inc.",LOW,213.89,85.39B,8.46%,121.88B,--,12.25,3.3,5.3,3.2
Vertex Pharmaceuticals Incorporated,VRTX,474.57,10.18B,39.46%,122.46B,6.60,22.57,,,
Citigroup Inc.,C,64.03,69.65B,11.48%,122.13B,0.65,--,1.8,13.8,13.7
Stryker Corporation,SYK,337.25,20.96B,16.03%,128.48B,6.70,26.85,4.0,13.2,11.0
Boston Scientific Corporation,BSX,76.4,14.71B,12.05%,112.32B,5.64,33.30,2.4,11.9,8.9
"Regeneron Pharmaceuticals, Inc.",REGN,1034.23,13.1B,29.45%,113.96B,4.22,23.33,0.3,11.0,6.7
"Analog Devices, Inc.",ADI,230.89,10.46B,20.45%,114.57B,3.25,25.28,9.3,6.7,7.0
KLA Corporation,KLAC,855.21,9.6B,27.19%,115.15B,37.21,31.57,7.4,5.1,4.6
"Palo Alto Networks, Inc.",PANW,342.09,7.79B,31.42%,110.77B,24.79,86.20,0.7,7.6,5.6
"BlackRock, Inc.",BLK,790.6,18.34B,32.26%,117.48B,2.96,14.27,0.9,7.4,10.0
The Charles Schwab Corporation,SCHW,73.2,18.46B,26.14%,133.82B,4.03,--,2.4,8.9,11.9
The Boeing Company,BA,184.83,76.44B,-2.81%,113.46B,--,65.81,8.8,22.5,8.3
"Marsh & McLennan Companies, Inc.",MMC,213.92,23.29B,16.84%,105.40B,8.49,18.17,0.1,11.3,9.7
"Prologis, Inc.",PLD,114.46,8.52B,37.35%,105.97B,1.99,19.89,2.7,2.5,5.0
Chubb Limited,CB,252.51,51.79B,17.92%,102.53B,1.69,--,1.5,11.5,10.6
Medtronic plc,MDT,77.61,32.36B,11.36%,99.52B,1.98,14.21,1.8,13.4,7.6
Lockheed Martin Corporation,LMT,462.16,69.64B,9.73%,109.97B,16.54,12.21,8.0,15.1,7.1
"United Parcel Service, Inc.",UPS,136.35,89.74B,6.60%,116.66B,6.90,11.56,,,
"Automatic Data Processing, Inc.",ADP,235.56,18.91B,19.56%,96.41B,20.84,16.85,2.8,5.5,5.5
Deere & Company,DE,360.03,58.6B,16.16%,99.21B,4.37,9.26,2.7,10.8,6.5
"NIKE, Inc.",NKE,75.43,51.36B,11.10%,113.85B,7.89,18.10,3.0,10.0,6.7
The Cigna Group,CI,319.12,204.15B,1.77%,90.65B,2.20,--,0.0,6.0,5.7
"T-Mobile US, Inc.",TMUS,179.24,78.52B,11.15%,210.63B,3.39,11.44,4.2,13.4,7.1
"Synopsys, Inc.",SNPS,621.3,6.31B,22.60%,95.19B,13.31,52.70,3.3,6.9,4.2
American Tower Corporation,AMT,195.64,11.21B,18.42%,91.36B,22.57,21.21,2.9,2.8,5.2
"CrowdStrike Holdings, Inc.",CRWD,389.68,3.28B,4.01%,94.83B,37.40,254.58,,,
"Arista Networks, Inc.",ANET,366.14,6.08B,37.64%,114.73B,14.59,44.16,0.4,8.9,7.4
"Mondelez International, Inc.",MDLZ,66.98,36.14B,11.87%,89.84B,3.15,13.36,7.2,9.4,5.4
Starbucks Corporation,SBUX,76.05,36.53B,11.38%,86.14B,--,14.39,5.8,14.6,4.3
Blackstone Inc.,BX,122.72,9.93B,21.68%,92.23B,13.26,--,2.5,9.6,11.3
"Fiserv, Inc.",FI,150.51,19.43B,16.68%,88.06B,3.06,13.54,4.1,8.7,6.8
"Gilead Sciences, Inc.",GILD,66.69,27.45B,1.77%,83.09B,4.74,21.65,1.0,14.3,7.6
"Chipotle Mexican Grill, Inc.",CMG,62.75,10.2B,12.70%,86.18B,25.64,43.78,,,
"Cadence Design Systems, Inc.",CDNS,321.11,4.08B,25.68%,87.48B,24.52,59.77,2.3,4.9,4.8
Bristol-Myers Squibb Company,BMY,39.66,45.53B,-13.50%,80.39B,4.88,24.09,1.3,14.4,7.1
The Southern Company,SO,78.04,25.42B,16.69%,85.33B ,2.67 ,12.20 ,14.7,11.0,7.3
Amphenol Corporation,APH,68.01,12.84B,15.87%,81.69B,9.41,26.99,7.3,4.6,7.6
Zoetis Inc.,ZTS,174.96,8.73B,27.38%,79.83B,15.78,22.77,3.2,6.8,8.7
"Altria Group, Inc.",MO,46.1,20.46B,41.42%,79.18B,--,7.96,6.1,17.6,7.6
Colgate-Palmolive Company,CL,97.05,19.75B,13.22%,79.62B,346.19,19.80,8.3,11.3,6.5
"Intercontinental Exchange, Inc.",ICE,140.79,8.38B,29.59%,80.75B,3.08,19.59,1.7,9.3,8.8
,,,,,,,,8.1,5.2,3.3
Duke Energy Corporation,DUK,100.56,29B,10.95%,77.61B,1.63,11.24,11.5,10.7,4.8
McKesson Corporation,MCK,587.76,308.95B,0.97%,76.24B,--,16.90,1.6,7.3,6.3
CVS Health Corporation,CVS,56.62,359.66B,2.04%,71.08B,0.96,8.14,0.0,15.8,6.2
Trane Technologies plc,TT,331.68,18.23B,11.81%,75.08B,10.90,23.81,4.4,5.7,5.1
"EOG Resources, Inc.",EOG,124.94,23.53B,31.27%,71.80B,2.51,5.31,20.2,6.7,7.3
"Equinix, Inc.",EQIX,754.49,7.88B,11.94%,71.61B,5.82,25.61,3.4,5.3,5.1
,,,,,,,,2.1,6.5,9.2
,,,,,,,,,,
Freeport-McMoRan Inc.,FCX,51.52,23.79B,6.97%,74.01B,4.36,8.83,15.3,10.0,6.4
TransDigm Group Incorporated,TDG,1274.55,7.3B,21.24%,71.32B,--,25.42,12.0,17.7,9.0
The Sherwin-Williams Company,SHW,295.7,22.98B,10.52%,74.97B,21.40,20.99,14.3,9.2,5.8
NXP Semiconductors N.V.,NXPI,273.54,13.28B,21.24%,69.94B,7.92,15.77,8.6,5.4,5.8
FedEx Corporation,FDX,294,87.69B,4.94%,72.35B,2.62,9.16,5.7,8.4,5.6
Target Corporation,TGT,145.65,106.62B,3.87%,67.38B,4.87,9.65,1.9,7.6,4.9
"Airbnb, Inc.",ABNB,152.5,10.24B,48.23%,96.81B,12.26,37.54,,,
"Becton, Dickinson and Company",BDX,227.76,19.72B,6.76%,65.82B,2.57,18.32,3.0,13.6,7.1
Schlumberger Limited,SLB,46.14,34.11B,12.72%,65.95B,3.18,9.60,8.1,6.3,5.9
Moody's Corporation,MCO,432.26,6.23B,27.01%,78.93B,22.08,28.91,1.6,6.1,8.1
CSX Corporation,CSX,33.3,14.63B,24.75%,65.10B,5.17,11.45,7.0,10.0,4.8
General Dynamics Corporation,GD,281.68,43.12B,7.85%,77.28B,3.61,16.38,9.4,18.9,6.9
Constellation Energy Corporation,CEG,211.29,23.51B,10.25%,66.61B,5.95,13.43,,,
Parker-Hannifin Corporation,PH,505.5,19.84B,13.95%,64.98B,5.61,15.30,9.5,13.8,6.2
"Motorola Solutions, Inc.",MSI,386.87,10.2B,13.65%,64.52B,123.85,30.57,2.3,5.1,5.8
Aon plc,AON,295.86,13.58B,19.04%,64.33B,--,18.71,,,
Illinois Tool Works Inc.,ITW,233.14,16.06B,19.07%,69.57B,23.04,16.57,7.0,11.8,6.5
"The PNC Financial Services Group, Inc.",PNC,156.51,20.37B,25.68%,62.28B,1.21,--,1.9,13.3,10.8
Welltower Inc.,WELL,106.48,6.94B,6.36%,63.67B,2.31,29.90,4.2,3.5,5.5
Emerson Electric Co.,EMR,109.46,16.53B,64.97%,62.62B,3.00,17.39,8.8,13.1,6.6
Marathon Petroleum Corporation,MPC,170.74,147.39B,5.36%,60.16B,2.62,4.98,17.1,8.1,5.3
U.S. Bancorp,USB,39.04,25.16B,20.08%,60.92B,1.25,--,1.8,15.5,13.0
"HCA Healthcare, Inc.",HCA,320.3,66.72B,8.20%,83.89B,--,9.51,3.9,17.7,7.2
Northrop Grumman Corporation,NOC,434.73,40.12B,5.38%,64.34B,4.52,17.77,7.8,14.4,5.4
"PayPal Holdings, Inc.",PYPL,59.76,30.43B,14.26%,62.51B,3.02,8.32,2.8,9.2,5.8
"O'Reilly Automotive, Inc.",ORLY,1026.82,16.08B,14.78%,60.47B,--,18.54,0.1,8.1,3.8
Cintas Corporation,CTAS,711.72,9.41B,15.98%,72.21B,17.06,30.80,3.0,9.2,5.9
"Roper Technologies, Inc.",ROP,562.56,6.39B,23.21%,60.22B,3.38,24.08,4.7,9.7,6.1
Ecolab Inc.,ECL,238.19,15.5B,10.01%,68.02B,8.29,23.56,8.5,6.1,5.3
,,,,,,,,20.8,8.8,5.8
"Marriott International, Inc.",MAR,240.98,6.38B,45.33%,68.83B,--,19.77,8.6,9.2,3.7
Arthur J. Gallagher & Co.,AJG,264.67,10.08B,10.83%,57.83B,5.12,26.76,0.1,10.9,10.1
3M Company,MMM,101.32,32.65B,-21.57%,56.07B,11.52,--,17.2,13.6,6.5
"Air Products and Chemicals, Inc.",APD,252.67,12.15B,20.32%,56.17B,3.77,14.50,7.4,1.5,3.3
Edwards Lifesciences Corporation,EW,92.32,6.14B,23.01%,55.63B,7.82,30.88,2.9,8.1,7.6
Hilton Worldwide Holdings Inc.,HLT,214.41,4.52B,26.52%,53.61B,--,26.56,,,
PACCAR Inc,PCAR,100.22,35.4B,14.30%,52.53B,3.11,8.54,8.4,11.0,8.3
General Motors Company,GM,46.52,174.87B,6.13%,53.05B,0.80,6.21,9.8,11.5,7.2
Capital One Financial Corporation,COF,136,26.97B,19.30%,51.94B,0.90,--,0.1,12.3,10.1
"Autodesk, Inc.",ADSK,247.87,5.65B,17.66%,53.42B,24.72,39.85,3.7,8.2,4.9
Truist Financial Corporation,TFC,38.22,20.81B,-6.76%,51.14B,0.98,--,,,
,,,,,,,,,,
Valero Energy Corporation,VLO,152.78,134.36B,5.22%,49.96B,1.92,4.39,20.1,7.4,5.0
"The Williams Companies, Inc.",WMB,42.48,10.16B,28.40%,51.77B,4.17,10.51,8.7,10.1,3.0
Ford Motor Company,F,12.84,177.49B,2.21%,51.26B,1.20,15.13,7.4,6.4,8.5
Microchip Technology Incorporated,MCHP,92.14,7.63B,24.98%,49.47B,7.43,16.06,15.3,9.2,7.4
"American International Group, Inc.",AIG,73.88,48.37B,9.98%,49.03B,1.13,--,1.6,9.7,12.9
"Digital Realty Trust, Inc.",DLR,151.44,5.41B,21.48%,49.14B,2.69,19.75,2.8,2.8,7.0
"Ross Stores, Inc.",ROST,145.55,20.74B,9.60%,48.60B,9.82,15.94,1.8,10.8,5.7
"AutoZone, Inc.",AZO,2815,17.98B,14.60%,48.09B,--,14.10,0.1,7.1,3.8
Norfolk Southern Corporation,NSC,215.86,12.03B,11.76%,48.77B,3.89,17.20,8.0,10.5,5.4
Newmont Corporation,NEM,44.51,13.16B,-20.33%,51.33B,1.78,135.90,7.1,8.2,5.2
"Simon Property Group, Inc.",SPG,146.09,5.75B,44.57%,47.62B,15.54,13.42,3.8,4.0,6.2
"ONEOK, Inc.",OKE,82.25,17.94B,12.54%,48.00B,2.92,14.49,10.8,11.0,3.3
Sempra,SRE,76.13,13.8B,21.06%,48.18B,1.71,14.50,10.9,7.8,4.9
Kimberly-Clark Corporation,KMB,138.29,20.38B,9.05%,46.56B,44.60,17.13,10.4,10.4,7.6
"Copart, Inc.",CPRT,54.22,4.17B,33.33%,52.18B,7.28,27.54,1.5,9.0,5.6
"The Travelers Companies, Inc.",TRV,201.87,42.89B,7.32%,46.23B,1.85,--,1.0,9.3,10.0
Aflac Incorporated,AFL,89.05,19.34B,27.67%,50.60B,2.15,--,0.3,9.1,8.9
"American Electric Power Company, Inc.",AEP,87.86,19.32B,14.57%,46.31B,1.79,11.72,12.7,8.1,5.4
GE Vernova Inc.,GEV,176.23,33.68B,-0.75%,48.30B,5.38,35.95,,,
Realty Income Corporation,O,53.09,4.4B,17.73%,46.23B,1.19,19.26,4.4,5.3,5.7
TE Connectivity Ltd.,TEL,149.43,15.83B,21.63%,45.76B,3.68,13.91,5.8,4.4,4.6
Humana Inc.,HUM,368.82,109.24B,1.82%,44.44B,2.76,--,0.0,16.7,5.7
The Bank of New York Mellon Corporation,BK,59.88,17.49B,19.03%,44.78B,1.24,--,1.1,9.9,9.9
Public Storage,PSA,289.67,4.61B,46.42%,50.90B,9.09,18.69,4.7,2.6,5.7
"DexCom, Inc.",DXCM,113.69,3.8B,16.82%,45.21B,20.12,45.10,5.3,10.6,8.1
Johnson Controls International plc,JCI,66.79,26.83B,6.32%,44.99B,2.87,20.92,4.5,4.6,5.4
"United Rentals, Inc.",URI,633.95,14.53B,17.31%,42.21B,5.20,8.19,5.3,6.1,5.4
"Ameriprise Financial, Inc.",AMP,432.15,16.58B,18.88%,42.92B,8.80,--,2.1,7.8,10.3
"Prudential Financial, Inc.",PRU,116.84,60.44B,3.58%,41.95B,1.54,--,0.6,10.0,9.3
"L3Harris Technologies, Inc.",LHX,224.07,20.16B,5.82%,42.50B,2.28,18.63,,,
The Allstate Corporation,ALL,158.43,58.57B,2.31%,41.81B,2.51,--,1.0,10.1,10.9
"MetLife, Inc.",MET,69.5,67.57B,3.50%,49.42B,1.73,--,0.7,7.0,8.8
Crown Castle Inc.,CCI,96.07,6.85B,20.37%,41.74B,6.90,17.57,4.1,1.7,4.3
Occidental Petroleum Corporation,OXY,61.79,27.01B,16.00%,54.79B,2.43,6.11,25.0,9.7,7.0
"Constellation Brands, Inc.",STZ,259.14,10.11B,24.42%,47.21B,4.61,15.67,9.4,10.0,5.2
"Fidelity National Information Services, Inc.",FIS,75.42,9.89B,-61.37%,41.95B,2.33,12.18,4.1,8.2,5.2
"Super Micro Computer, Inc.",SMCI,846.58,11.82B,8.87%,49.57B,9.73,41.18,,,
"D.R. Horton, Inc.",DHI,135.56,37.06B,13.39%,44.64B,1.87,7.46,8.7,6.7,5.7
,,,,,,,,18.9,7.2,7.0
"Dominion Energy, Inc.",D,49.11,14.14B,11.93%,41.16B,1.61,13.15,11.9,8.8,5.6
"IDEXX Laboratories, Inc.",IDXX,486,3.72B,23.26%,40.14B,25.58,32.86,2.6,7.1,8.9
"W.W. Grainger, Inc.",GWW,912.55,16.62B,10.94%,44.78B,14.00,16.66,4.5,5.6,5.9
"Republic Services, Inc.",RSG,194.89,15.25B,11.81%,61.38B,5.67,16.78,11.2,6.0,3.7
"Monolithic Power Systems, Inc.",MPWR,841.65,1.83B,22.44%,40.96B,19.38,80.76,,,
Otis Worldwide Corporation,OTIS,96.88,14.3B,9.99%,39.17B,--,18.88,,,
"Moderna, Inc.",MRNA,118.32,5.15B,-115.82%,45.34B,3.54,--,,,
"Kinder Morgan, Inc.",KMI,19.89,15.29B,16.08%,44.14B,1.45,11.65,8.3,7.2,3.5
"Verisk Analytics, Inc.",VRSK,274.45,2.73B,28.46%,39.16B,138.76,28.92,0.1,12.5,5.0
IQVIA Holdings Inc.,IQV,208.1,15.07B,9.01%,37.92B,5.98,15.32,1.3,10.6,7.2
"AMETEK, Inc.",AME,165.65,6.74B,19.57%,38.34B,4.28,19.88,8.6,8.5,6.7
"Fortinet, Inc.",FTNT,61.09,5.4B,22.23%,46.67B,--,29.30,2.5,10.0,6.4
MSCI Inc.,MSCI,495.24,2.62B,44.55%,39.23B,--,24.81,1.6,7.0,7.7
Nucor Corporation,NUE,153.84,34.14B,12.40%,36.88B,1.78,5.21,9.3,14.7,8.8
"Paychex, Inc.",PAYX,117.54,5.28B,32.03%,42.31B,11.13,17.73,3.2,7.2,6.4
"Corteva, Inc.",CTVA,52.44,16.83B,3.32%,36.55B,1.48,17.39,,,
Arch Capital Group Ltd.,ACGL,98.15,14.41B,33.65%,36.85B,1.99,--,1.5,10.1,10.9
"Agilent Technologies, Inc.",A,126.37,6.59B,18.84%,36.87B,5.93,22.54,1.1,6.4,6.1
"Cencora, Inc.",COR,222.68,276.54B,0.67%,43.85B,40.49,12.70,1.6,5.5,5.7
Cummins Inc.,CMI,266.63,34.02B,5.70%,36.47B,4.02,9.61,5.6,7.7,5.9
Fair Isaac Corporation,FICO,1551.55,1.6B,29.99%,38.34B,--,56.48,,,
,,,,,,,,8.1,7.7,4.9
Dow Inc.,DOW,52.23,43.54B,2.75%,36.73B,1.99,10.87,,,
Public Service Enterprise Group Incorporated,PEG,74.07,10.24B,17.65%,36.89B,2.35,13.80,12.5,9.3,5.5
PG&E Corporation,PCG,17.23,24.08B,9.99%,45.05B,1.75,13.04,9.6,15.4,5.4
"Diamondback Energy, Inc.",FANG,203.53,8.27B,38.66%,36.30B,2.14,6.66,,,
"Yum! Brands, Inc.",YUM,129.12,7.03B,22.92%,36.36B,--,18.84,4.5,11.4,4.1
Ingersoll Rand Inc.,IR,91.38,6.92B,11.85%,36.89B,3.74,22.38,,,
Lennar Corporation,LEN,142.63,35.78B,11.58%,38.86B,1.46,6.80,11.3,8.6,5.6
"Quanta Services, Inc.",PWR,252.53,21.49B,3.58%,36.97B,5.82,21.99,12.1,15.7,9.0
"General Mills, Inc.",GIS,62.88,19.86B,12.57%,35.10B,3.73,11.77,8.3,8.7,4.1
Fastenal Company,FAST,63.16,7.38B,15.68%,36.16B,10.55,21.33,9.3,8.3,7.1
Monster Beverage Corporation,MNST,49.75,7.34B,22.83%,49.03B,5.72,21.83,12.1,12.0,5.1
Baker Hughes Company,BKR,34.22,26.21B,6.95%,34.15B,2.22,9.78,,,
Centene Corporation,CNC,66.37,142.8B,1.92%,35.42B,1.31,5.94,0.1,13.3,6.5
Lululemon Athletica Inc.,LULU,298.14,9.83B,16.09%,37.27B,8.83,13.98,1.6,9.9,5.5
Sysco Corporation,SYY,69.75,78.02B,2.66%,34.73B,16.53,11.08,5.4,6.1,4.5
Exelon Corporation,EXC,34.31,22.21B,10.43%,34.31B,1.32,9.96,7.4,9.1,6.4
"Gartner, Inc.",IT,452.01,5.97B,13.35%,35.09B,48.86,27.39,0.1,13.2,5.6
Kenvue Inc.,KVUE,18.31,15.49B,9.63%,35.06B,3.30,13.81,,,
Keurig Dr Pepper Inc.,KDP,32.66,14.93B,14.52%,44.27B,1.80,14.64,,,
